Usuario,kd,hltv,HS %,clutch 1vsX %,EDE ronda %,EDEC %,EDET %,EDECT %,FC %,FT %,FCT %,is_cheating
wichowtf,0.61,0.68,32,17,3,29,17,38,11,10,13,0
elfy ♥,1.11,1.1,47,20,9,55,52,59,16,20,13,0
holypeach`,0.95,0.99,47,11,13,52,49,54,25,22,28,0
Kiu,0.82,0.85,37,15,8,45,45,45,18,18,18,0
Apl9xito,1.1,1.1,51,15,11,52,55,48,21,25,17,0
Mixolydian`,1.62,1.46,52,22,15,65,65,64,23,25,21,0
Altezza,1.07,1.03,37,17,6,53,52,54,12,13,11,0
Jack0motto,0.73,0.75,47,15,12,46,46,47,25,25,25,0
kUr|mAoOoO,1.36,1.24,32,15,7,59,55,63,12,11,14,0
hellboy,1.36,1.41,57,22,21,59,57,61,35,41,30,0
Bro NY,1.23,1.16,37,17,10,60,59,61,17,15,18,0
â¥ Sister Mary â¥,0.93,0.97,41,17,12,49,44,56,25,26,24,0
Ish359,0.83,0.85,26,14,9,50,46,55,18,18,19,0
7 ATE 9,1.29,1.26,29,20,13,63,55,70,20,19,22,0
Caboose,0.8,0.84,36,14,11,44,43,44,24,27,22,0
ShAkin,1.32,1.34,50,20,16,59,57,61,27,29,25,0
Neziwi,1.22,1.23,36,19,14,58,56,60,24,23,24,0
w0nkuh,1.01,1.01,46,16,6,51,44,56,12,11,14,0
Steadfast,1.66,1.59,59,26,14,65,64,68,22,25,19,0
Scout,1.21,1.22,33,22,16,62,56,67,26,26,26,0
Steph,1.58,1.46,41,23,13,64,60,67,21,17,25,0
nMe,1.6,1.52,38,23,15,66,57,63,23,21,25,0
vanc3`,0.99,1.01,40,14,12,50,46,56,25,27,23,0
sauc,1.38,1.38,58,21,14,60,58,63,23,26,21,0
KamiKaze,0.83,0.85,36,8,8,49,42,56,17,16,18,0
Kavihira,1.39,1.32,39,20,10,59,58,61,17,18,17,0
fish,1.12,1.12,35,10,11,50,49,51,23,23,23,0
KARMA,0.92,0.89,23,13,10,51,50,52,19,21,17,0
JUICYFUCKINWANG,0.8,0.8,44,16,13,47,48,48,27,33,21,0
phenom,1.41,1.39,31,23,15,56,52,59,28,25,30,0
The lizard in your ass,1.15,1.17,41,20,12,58,55,61,21,20,22,0
NovataKo,0.9,0.9,38,16,8,49,49,49,17,17,18,0
akali,1.1,1.17,37,13,16,58,49,68,27,27,27,0
gothicsquash,0.79,0.84,28,16,12,48,48,48,26,24,28,0
7.66E+16,1.08,1.1,43,20,10,48,43,52,21,20,21,0
LitPhuse,0.94,0.96,46,15,9,44,43,45,20,22,19,0
Edit,1.24,1.27,38,24,16,54,54,55,29,29,28,0
JP.-,0.96,0.98,40,20,11,51,54,50,22,16,29,0
